epoch,auxiliary_classifier_acc,auxiliary_classifier_loss,loss,main_classifier_acc,main_classifier_loss,val_auxiliary_classifier_acc,val_auxiliary_classifier_loss,val_loss,val_main_classifier_acc,val_main_classifier_loss
0,0.26249998807907104,3.1527652740478516,5.292760848999023,0.22613635659217834,4.031654357910156,0.2772727310657501,5.2287468910217285,6.505417823791504,0.2454545497894287,4.413918972015381
1,0.2443181872367859,3.0476808547973633,5.2193803787231445,0.2193181812763214,4.000308036804199,0.26363635063171387,3.7823615074157715,5.239298343658447,0.24090908467769623,3.726353883743286
2,0.2772727310657501,3.0160160064697266,5.157810688018799,0.20000000298023224,3.951403856277466,0.2590909004211426,3.2952098846435547,4.721362113952637,0.22272726893424988,3.403278350830078
3,0.271590918302536,3.025536060333252,5.219650745391846,0.21704545617103577,4.009436130523682,0.26363635063171387,3.1747794151306152,4.685439586639404,0.22727273404598236,3.4155280590057373
4,0.27386364340782166,3.017946720123291,5.180558681488037,0.21250000596046448,3.9733800888061523,0.26363635063171387,3.1038925647735596,4.633885383605957,0.22727273404598236,3.3923285007476807
5,0.2590909004211426,2.9777235984802246,5.153748512268066,0.21704545617103577,3.9626588821411133,0.27272728085517883,3.0803143978118896,4.688801288604736,0.22727273404598236,3.4566752910614014
6,0.26931819319725037,2.993349313735962,4.988777160644531,0.2136363685131073,3.7914373874664307,0.27272728085517883,3.0595030784606934,4.679486274719238,0.23181818425655365,3.4556849002838135
7,0.25795453786849976,3.0277373790740967,5.143548965454102,0.21136364340782166,3.9324543476104736,0.2590909004211426,3.035959482192993,4.66353702545166,0.23636363446712494,3.4491536617279053
8,0.290909081697464,2.981928825378418,4.988609313964844,0.22840909659862518,3.79583740234375,0.2590909004211426,3.0285327434539795,4.692018032073975,0.23636363446712494,3.4806056022644043
9,0.27272728085517883,2.998432159423828,5.0811767578125,0.21136364340782166,3.8818042278289795,0.2545454502105713,3.0296790599823,4.7126688957214355,0.2454545497894287,3.5007970333099365
10,0.26363635063171387,3.005026340484619,5.083092212677002,0.20909090340137482,3.881082057952881,0.2454545497894287,3.039983034133911,4.765233039855957,0.24090908467769623,3.5492403507232666
11,0.27840909361839294,2.988467216491699,5.001433849334717,0.23863635957241058,3.806047201156616,0.2454545497894287,3.0490708351135254,4.740920543670654,0.24090908467769623,3.5212924480438232
12,0.2670454680919647,2.992480516433716,5.04116153717041,0.207954540848732,3.844170331954956,0.2545454502105713,3.041872024536133,4.742211818695068,0.24090908467769623,3.5254628658294678
13,0.2647727131843567,3.004518747329712,5.1267476081848145,0.22159090638160706,3.924940347671509,0.25,3.056213617324829,4.756921768188477,0.25,3.5344362258911133
14,0.2750000059604645,2.9967570304870605,5.01815938949585,0.22840909659862518,3.8194572925567627,0.2545454502105713,3.0574920177459717,4.741295337677002,0.25,3.518298387527466
15,0.2556818127632141,3.015084743499756,5.147019386291504,0.22045454382896423,3.9409842491149902,0.2590909004211426,3.0474600791931152,4.739494323730469,0.25,3.520510196685791
16,0.26363635063171387,2.992863655090332,5.023548603057861,0.21136364340782166,3.826402425765991,0.2590909004211426,3.040620803833008,4.746879577636719,0.25,3.5306313037872314
17,0.26363635063171387,3.0049185752868652,5.115954399108887,0.22159090638160706,3.913987636566162,0.26363635063171387,3.0310845375061035,4.728979587554932,0.25,3.5165460109710693
18,0.27954545617103577,2.994050979614258,5.114513397216797,0.20568181574344635,3.916893243789673,0.26363635063171387,3.036454677581787,4.730964183807373,0.25,3.5163824558258057
19,0.2602272629737854,3.0089235305786133,5.084951400756836,0.23863635957241058,3.8813822269439697,0.26818183064460754,3.036092758178711,4.747657775878906,0.25,3.5332207679748535
20,0.27386364340782166,3.007167100906372,5.066868305206299,0.19090908765792847,3.864001989364624,0.26363635063171387,3.0414862632751465,4.754727363586426,0.25,3.538133144378662
21,0.2920454442501068,3.001168727874756,5.0956711769104,0.23295454680919647,3.895202875137329,0.26363635063171387,3.0567643642425537,4.799505233764648,0.25,3.5767993927001953
