,id,genre,styles,uri
0,65000,['Rock'],['Art Rock'],https://i.discogs.com/CAUBZ2Jmz1rXjFIXaHmXCLEEuTjzyy-ZYqZo07NFKvk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyMjcw/NS0xMjgxOTU4ODk2/LmpwZWc.jpeg
1,65001,"['Folk, World, & Country']","['Tribal', 'Folk']",https://i.discogs.com/uf7pZGrErc4HIwIP0QU6SN8q_g_rIg1LVLh4dcVnfec/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMjcy/OTEtMTIyNzI4OTQ4/NS5qcGVn.jpeg
2,65002,['Electronic'],"['Techno', 'Minimal']",https://i.discogs.com/gbAUm4LvpSdCVUM7AITy7q19fuRWYENCOh93GXSLCh0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc2NjAy/OS0xMTU2NTc2OTY1/LmpwZWc.jpeg
3,65003,"['Folk, World, & Country']","['Religious', 'Qawwali']",https://i.discogs.com/MvSF-ldGRM2Rx7pL2rIbq5D-Yny-uso15RbUklXDF9k/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzODQz/MzAtMTUwNDYzMzI4/Ni00NDYwLmpwZWc.jpeg
4,65004,['Rock'],"['Garage Rock', 'Art Rock']",https://i.discogs.com/ZvpXhmw_u0GD__eLyFN3_twjFupKedgUTh_8Qv6A3DE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUzMjI3/OS0xMjYzMjM4NDky/LmpwZWc.jpeg
5,65005,"['Electronic', 'Rock', 'Funk / Soul']","['House', 'Drum n Bass', 'Indie Rock', 'Funk']",https://i.discogs.com/W2pLMokkjk52nkIQLOMmaqWLGqrEbXesxfiskloOfik/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc2NjAy/OC0xMTU2NTc2NzUz/LmpwZWc.jpeg
6,65006,"['Electronic', 'Hip Hop', 'Jazz']","['Deep House', 'Future Jazz', 'Downtempo', 'Ambient']",https://i.discogs.com/11apN3GDm-vBXQSt5g-rDlINgQPUrx_pmUk0ywzhkok/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgwNTM5/Mi0xMTYwNTk5MjI1/LmdpZg.jpeg
7,65007,['Rock'],['Art Rock'],https://i.discogs.com/pzJ-Mv5q-KOfQE2HWzh9pfAYOdaWzWk1m7xq0XWEAlM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgxNDE0/NC0xNTQ4NjAxMDY3/LTI1ODguanBlZw.jpeg
8,65008,"['Folk, World, & Country']","['African', 'Vocal']",https://i.discogs.com/VhzOsz2rpuL-8iWXkrl2_yDhpISzeLe_lbP55OT4Sx4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2NDI2/NzktMTI3NTg1MTAy/NS5qcGVn.jpeg
9,65009,['Jazz'],"['Smooth Jazz', 'Jazz-Funk']",https://i.discogs.com/_dQzBUpCfDwamIKFz87ti4EBH9EIruh5jvKfY9OgO2o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzYz/NDctMTUyMTEzNjEz/MS05NDk4LmpwZWc.jpeg
