,id,genre,styles,uri
0,75000,['Electronic'],"['Goa Trance', 'Hard Trance']",https://i.discogs.com/gStxkNFKeMMiKxGUF3RRe639_9wFjqcXoVSFtAvrWhg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0Njg3/Ni0xMjAwMDQ1ODA2/LmpwZWc.jpeg
1,75001,['Electronic'],"['Italo-Disco', 'Synth-pop']",https://i.discogs.com/nrWhADCgDsoldQaj8oT0lQvlIDdzz7jxHRHE9GFr6hU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5ODg1/NS0xNTkzMzE1MDA0/LTcyNTcuanBlZw.jpeg
2,75002,['Electronic'],"['Progressive House', 'Trance']",https://i.discogs.com/9OiGRDmEhQnuQir6NCP4r0qdVZ8AER-oQ-Qh3ndvUpo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MjMy/Ni0xNDM0MDE0ODU2/LTc3NTEuanBlZw.jpeg
3,75003,['Funk / Soul'],"['Soul', 'Disco']",https://i.discogs.com/e3MEQuZwoYqWWLsZbQIkCQ96mgR0YHdvEoAbSBJUzIE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MDk0/MjItMTM0OTEzOTE2/My00NzUwLmpwZWc.jpeg
4,75004,['Electronic'],['Italo-Disco'],https://i.discogs.com/zeFSuHDrnN5PrwJoARo1cydhTGqI_Q-SXo4inw0wqRk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNTQ0/Ny0xMTU1Mjg5MTkw/LmpwZWc.jpeg
5,75005,['Electronic'],"['Hard Trance', 'Trance']",https://i.discogs.com/n7LBoPVMIjI7pkRVCds_GQut5Hham4wemmcd0OnaxbY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYzMDU4/LTE0NTUxMzQ5ODAt/MzI3Mi5qcGVn.jpeg
6,75006,"['Electronic', 'Rock']","['Abstract', 'Experimental']",https://i.discogs.com/qIbgoyVvnLmp4Aeu2AhyhX2wEb-4E-ZY2DHoFhXnqFk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk2Njk2/NS0xMTc4NzI0OTc2/LmpwZWc.jpeg
7,75007,['Funk / Soul'],"['Downtempo', 'Disco']",https://i.discogs.com/MWjQW8HUj9bFlNhmKawb-UGiti1qDNuV0HAuEo48wks/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUzNDM0/Ni0xNDAzNTQzNjcz/LTE5MDEuanBlZw.jpeg
8,75008,['Electronic'],"['Trance', 'Techno']",https://i.discogs.com/xAIUOaKvLQrq2l8P9vFnpj5yRutJLuV7M3NM3IX39mM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ1NTE1/LTE0OTIwMTU2Mjkt/MzMzOS5qcGVn.jpeg
9,75009,['Electronic'],['Italo-Disco'],https://i.discogs.com/7T95t1WoYqz_cusSucBhaiHM9T-xg-hNcNm2-T5YaZc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY3Nzc5/Ny0xNTcyNzI2MTIz/LTc3ODQuanBlZw.jpeg
