epoch,accuracy,loss,val_accuracy,val_loss
0,0.1613636314868927,0.5679894685745239,0.2136363685131073,0.42666539549827576
1,0.1829545497894287,0.4409472644329071,0.1772727221250534,0.5097894072532654
2,0.18522727489471436,0.4291020929813385,0.1772727221250534,0.4138582646846771
3,0.19431817531585693,0.4208999276161194,0.2545454502105713,0.39018839597702026
4,0.18977272510528564,0.4222075343132019,0.2181818187236786,0.3772256374359131
5,0.22159090638160706,0.4111422002315521,0.06363636255264282,0.46164050698280334
6,0.18068182468414307,0.4163956642150879,0.2545454502105713,0.45326873660087585
7,0.1977272778749466,0.3998737037181854,0.2545454502105713,0.41107112169265747
8,0.1715909093618393,0.4100964665412903,0.22727273404598236,0.4184421896934509
9,0.1772727221250534,0.4145512878894806,0.05454545468091965,0.43596166372299194
10,0.18068182468414307,0.40133434534072876,0.1772727221250534,0.40291282534599304
11,0.2136363685131073,0.3878156542778015,0.19545455276966095,0.37642884254455566
12,0.20568181574344635,0.3937552571296692,0.2545454502105713,0.37074974179267883
13,0.19545455276966095,0.38817909359931946,0.2545454502105713,0.3869219720363617
14,0.207954540848732,0.3894270360469818,0.1772727221250534,0.4026980400085449
15,0.1920454502105713,0.38463902473449707,0.25,0.38654187321662903
16,0.2136363685131073,0.384211003780365,0.2454545497894287,0.3546469509601593
17,0.1772727221250534,0.38397088646888733,0.05454545468091965,0.41041329503059387
18,0.20227272808551788,0.37675467133522034,0.22272726893424988,0.3617419898509979
19,0.20000000298023224,0.379360556602478,0.13181817531585693,0.3452834486961365
20,0.22727273404598236,0.3753148913383484,0.20454545319080353,0.369972825050354
21,0.21704545617103577,0.37531548738479614,0.2454545497894287,0.3364259600639343
22,0.20000000298023224,0.36733436584472656,0.1772727221250534,0.40866830945014954
23,0.207954540848732,0.3685878813266754,0.2863636314868927,0.36531469225883484
24,0.22613635659217834,0.3643215596675873,0.25,0.3668058514595032
25,0.21477273106575012,0.36195504665374756,0.2454545497894287,0.36826545000076294
26,0.2340909093618393,0.35904377698898315,0.2454545497894287,0.3487212061882019
27,0.24204544723033905,0.36081448197364807,0.09545454382896423,0.4040301442146301
28,0.22727273404598236,0.3595108687877655,0.2545454502105713,0.4352371096611023
29,0.22727273404598236,0.3600458800792694,0.2545454502105713,0.3986901342868805
30,0.21704545617103577,0.36113440990448,0.10454545170068741,0.3723938763141632
31,0.21477273106575012,0.355508029460907,0.25,0.4355911612510681
32,0.24659091234207153,0.3537326157093048,0.15909090638160706,0.371559739112854
33,0.24204544723033905,0.3543701171875,0.09545454382896423,0.38044676184654236
34,0.20681817829608917,0.3592258393764496,0.2545454502105713,0.38247230648994446
35,0.24090908467769623,0.35230085253715515,0.23181818425655365,0.35636481642723083
36,0.21250000596046448,0.35814279317855835,0.2590909004211426,0.3823842704296112
37,0.2340909093618393,0.349388986825943,0.25,0.38923075795173645
38,0.24772727489471436,0.3555551767349243,0.2454545497894287,0.3585458993911743
39,0.24318182468414307,0.3532250225543976,0.2136363685131073,0.349086195230484
40,0.2454545497894287,0.35164734721183777,0.2181818187236786,0.34473279118537903
41,0.23522727191448212,0.3510994613170624,0.2545454502105713,0.36466267704963684
42,0.22045454382896423,0.3511630594730377,0.05454545468091965,0.39336174726486206
43,0.24886363744735718,0.34735485911369324,0.26818183064460754,0.33851587772369385
44,0.25,0.3489915430545807,0.10000000149011612,0.3826882541179657
45,0.22499999403953552,0.3501964807510376,0.2545454502105713,0.35530200600624084
46,0.2511363625526428,0.34528669714927673,0.23181818425655365,0.3755468428134918
47,0.2454545497894287,0.3462316393852234,0.2545454502105713,0.36441460251808167
48,0.23636363446712494,0.3464369475841522,0.2136363685131073,0.3588281571865082
49,0.23295454680919647,0.34919077157974243,0.15909090638160706,0.3689730763435364
50,0.22840909659862518,0.34694817662239075,0.26363635063171387,0.34499046206474304
51,0.2136363685131073,0.3474127948284149,0.19545455276966095,0.3416578471660614
52,0.2443181872367859,0.34347012639045715,0.25,0.36981838941574097
53,0.2545454502105713,0.3467700481414795,0.25,0.3758922517299652
54,0.22159090638160706,0.3464348316192627,0.19545455276966095,0.3588763475418091
55,0.2193181812763214,0.344509094953537,0.2590909004211426,0.36307236552238464
56,0.24090908467769623,0.341946005821228,0.1772727221250534,0.3542545735836029
57,0.2511363625526428,0.3401728868484497,0.16818182170391083,0.35031184554100037
58,0.25227272510528564,0.3412839472293854,0.25,0.38568025827407837
59,0.26363635063171387,0.3379673361778259,0.22727273404598236,0.3622398376464844
60,0.2806818187236786,0.34060487151145935,0.06363636255264282,0.3749876320362091
61,0.27272728085517883,0.3387170135974884,0.15000000596046448,0.362391859292984
62,0.25340908765792847,0.34104007482528687,0.2136363685131073,0.34624648094177246
63,0.2647727131843567,0.34061524271965027,0.23636363446712494,0.345773309469223
64,0.2613636255264282,0.3429008722305298,0.16363635659217834,0.3796815276145935
65,0.26363635063171387,0.339183509349823,0.2772727310657501,0.3648425340652466
66,0.24204544723033905,0.34386396408081055,0.25,0.3641526997089386
67,0.25,0.33960026502609253,0.2590909004211426,0.36432209610939026
68,0.24204544723033905,0.3359283208847046,0.25,0.36408233642578125
