,dominant_r,dominant_g,dominant_b
949,119,98,92.0
950,88,89,86.0
951,84,81,63.0
952,167,144,136.0
953,137,75,19.0
954,97,102,112.0
955,107,106,105.0
956,145,150,114.0
957,120,139,125.0
958,79,57,49.0
959,136,100,79.0
960,109,71,52.0
961,60,60,59.0
962,153,85,126.0
963,134,118,105.0
964,98,58,45.0
965,160,146,132.0
966,58,101,96.0
967,110,97,71.0
968,151,129,90.0
969,118,85,57.0
970,133,140,122.0
971,60,35,51.0
972,142,92,60.0
973,116,86,63.0
974,68,54,49.0
975,127,85,61.0
976,115,110,114.0
977,165,111,79.0
978,133,77,92.0
979,79,79,79.0
980,135,107,87.0
981,110,94,87.0
982,108,91,69.0
983,166,124,102.0
984,163,154,148.0
985,156,120,102.0
986,150,120,93.0
987,113,108,110.0
988,127,52,69.0
989,124,120,85.0
990,83,105,117.0
991,117,96,74.0
992,120,96,75.0
993,203,152,114.0
994,133,132,131.0
995,92,115,92.0
996,172,141,103.0
997,138,117,89.0
998,74,65,48.0
999,87,131,134.0
1000,49,41,38.0
1001,136,110,85.0
1002,94,134,138.0
1003,100,112,106.0
1004,79,129,208.0
1005,147,137,149.0
1006,92,75,63.0
1007,120,125,120.0
1008,134,78,69.0
1009,123,102,94.0
1010,176,136,112.0
1011,150,73,78.0
1012,179,156,109.0
1013,194,163,127.0
1014,154,137,112.0
1015,57,38,40.0
1016,194,174,142.0
1017,161,165,118.0
1018,91,96,71.0
1019,76,59,48.0
1020,126,105,109.0
1021,44,37,56.0
1022,107,119,120.0
1023,81,129,164.0
1024,167,157,151.0
1025,69,53,52.0
1026,162,111,87.0
1027,146,137,129.0
1028,106,104,109.0
1029,79,69,49.0
1030,142,92,65.0
1031,117,82,68.0
1032,81,81,73.0
1033,92,83,56.0
1034,139,146,153.0
1035,90,84,85.0
1036,36,83,94.0
1037,112,105,100.0
1038,28,14,7.0
1039,56,137,185.0
1040,81,27,21.0
1041,105,94,92.0
1042,165,138,89.0
1043,139,97,84.0
1044,181,149,141.0
1045,188,161,127.0
1046,126,103,104.0
1047,126,109,103.0
1048,167,152,97.0
1049,79,72,67.0
1050,87,91,81.0
1051,101,84,74.0
1052,144,139,141.0
1053,181,95,59.0
1054,134,144,144.0
1055,73,81,103.0
1056,152,112,92.0
1057,116,109,96.0
1058,132,78,87.0
1059,120,94,72.0
1060,36,64,72.0
1061,132,151,81.0
1062,125,118,110.0
1063,78,63,56.0
1064,171,123,93.0
1065,160,126,68.0
1066,116,117,113.0
1067,102,104,99.0
1068,77,79,74.0
1069,123,94,79.0
1070,144,134,119.0
1071,145,113,114.0
1072,164,149,130.0
1073,107,97,83.0
1074,165,120,97.0
1075,62,54,49.0
1076,142,102,64.0
