,id,genre,styles,uri
0,15000,['Electronic'],"['House', 'Disco']",https://i.discogs.com/kbikNaoN6x6DOxzVOThT0tnjp11yAW3bU5m9nsxxIE8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQx/MTkxOC0xMTQyNjY1/NzEwLmpwZWc.jpeg
1,15001,['Electronic'],['Disco'],https://i.discogs.com/QmUlqWyQWXWC7jdsaUI5h40ZKCvTNCoJi13BEcTRHhA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEy/NjE2NDEtMTI5NTE4/MjM3NS5qcGVn.jpeg
2,15002,['Electronic'],"['Trance', 'Techno']",https://i.discogs.com/faJhBHEKKghtRoF-JBB_MtCOYbQEKtmO6FswTGIX5l4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE1/NzQwMy0xMTk4MDg0/NzEwLmpwZWc.jpeg
3,15003,['Rock'],['Alternative Rock'],https://i.discogs.com/3xwH2wNXs3f9-c39TmO2Yfy5kTxmdLmnlerb8-avtPE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTc4/Mzg5MC0xMjQxNDk3/NTg0LmpwZWc.jpeg
4,15004,['Electronic'],"['Breakbeat', 'Hardcore', 'Techno']",https://i.discogs.com/fMw4S1bxw2ipGH98emw-CN0q7zTWEKBKmwVF2ftZqnc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE4/MDM5OC0xMTM5NDk5/ODk4LmpwZWc.jpeg
5,15005,['Electronic'],"['IDM', 'Ambient']",https://i.discogs.com/ow-kRHtybONrjebZeVkIWwQRAvDx3xhNxWcd3GuAEdc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI5/NzM4NS0xMTk5OTkx/NzQxLmpwZWc.jpeg
6,15006,['Rock'],"['Alternative Rock', 'Post Rock']",https://i.discogs.com/O7ZQrf_WDKFM1HlAoLCMFEmzgVr-4TD3xcrnb28DZBk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTMw/NDY5OTQtMTYwNzQz/NTMxMy05OTAxLmpw/ZWc.jpeg
7,15007,['Electronic'],"['Italo-Disco', 'Downtempo', 'Synth-pop']",https://i.discogs.com/hS8oXpWNx3LyF7Dh1lR-xKgjygeDudJkCsC0BB6Zc7U/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI0/MTczNy0xMTQ3NzM2/NDA3LmpwZWc.jpeg
8,15008,['Electronic'],['Hard Trance'],https://i.discogs.com/2uEPOuYdd9aO99KJ3b8a2TlZdZz_pusQ2mvbQmvYrU8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/MTk0NC0xNTk3MTMx/MDYxLTg1ODIuanBl/Zw.jpeg
9,15009,['Electronic'],"['Trance', 'Techno', 'Ambient']",https://i.discogs.com/TKjkR_sqIEOfG5l1si7pJHQ2C0T3KmzLpyCOfTIoqnk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIw/OTg4LTE1ODU1NjI4/OTgtMjg5OS5qcGVn.jpeg
10,15010,['Electronic'],"['Italo-Disco', 'Disco']",https://i.discogs.com/gP9haDk9-mljKXPGZPiuosIArP3X-EvSOYJJXYVpgbE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI4/NDU2Ny0xMTQwODgx/MTYyLmpwZWc.jpeg
11,15011,['Electronic'],['Italo-Disco'],https://i.discogs.com/OlrR8dk0rkQhuEB-ofZFrr3U2K9ePkgHVMEnmY4Vu_o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE4/MDk0Ny0wMDEuanBn.jpeg
12,15012,['Electronic'],['IDM'],https://i.discogs.com/EoV4T740-YzHnh_tRMJjecYwZh_9v0wuAnPnbCzFb0o/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NzIxNS0wMDIuanBn.jpeg
13,15013,['Rock'],"['Post Rock', 'Ambient', 'Downtempo']",https://i.discogs.com/F63yfgBo1IRmOLoLbI0H26jjHlSR_xYJAMFL2eIZu1w/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE2/NjIwODMtMTMwNTky/MzM2My5qcGVn.jpeg
14,15014,['Electronic'],"['Trance', 'Progressive Trance']",https://i.discogs.com/H1p8o0Q_rm-_ypDN6bqMgbG61h3LYYxMSyjrZbmWSow/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIy/ODc0Ny0xMDgxMjkz/Mzk1LmpwZw.jpeg
15,15015,['Electronic'],"['Hardcore', 'Rhythmic Noise']",https://i.discogs.com/mSBN2BtzOM1iI6WWyMS4Tx6Rceiqdpk1Xg8LBt525co/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTc1/MTk0LTExNTE5NDk0/NjMuanBlZw.jpeg
16,15016,['Rock'],"['Folk Rock', 'Modern Classical', 'Prog Rock', 'Classic Rock']",https://i.discogs.com/2dE7FizZyCq5KSK5WccwyzPUf79r32vUS7ikO1aBQk8/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEy/NTU2MTA1LTE1Mzc2/MTI2NjItOTcwNy5q/cGVn.jpeg
17,15017,['Electronic'],['Leftfield'],https://i.discogs.com/1oLT0A3v6o-geEN6r_rzvD6uBTkOqsztMgWQ1RNIQlw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTIz/ODU0MS0xNjM1OTM5/MzkzLTQ0OTQuanBl/Zw.jpeg
18,15018,"['Electronic', 'Rock']","['Modern Classical', 'Post Rock', 'Experimental']",https://i.discogs.com/hizn51jM4J3_55WjiSEQ3GUnZmNDPgL3RPYUc717WNA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE2/MzIyMTktMTIzMzQy/MDQ0NS5qcGVn.jpeg
19,15019,['Electronic'],"['Hardcore', 'Experimental']",https://i.discogs.com/u19tdvM3_dnFB1_xYBN15zfGJP1MOmdT0iw3jO5-xPA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTk4/MzYzLTExMDM5ODcz/MTAuanBn.jpeg
20,15020,['Rock'],"['Folk Rock', 'Acoustic', 'Indie Rock']",https://i.discogs.com/pD_yUPlV2k2uBQqUlgXZJND07nOOUrpDh3Pa-KJIJP4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTc5/OTExMS0xNTU5OTI2/MjE5LTIyMTMuanBl/Zw.jpeg
21,15021,['Funk / Soul'],['Disco'],https://i.discogs.com/dJc2PMEEOFp99aiUnhEV0lMcqcxAIL5EI5RfgENaymI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE5/ODk2My0xMzg3NTc4/NDUwLTkzNzMuanBl/Zw.jpeg
